CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 5756.4521 624.1940 5579.8491
  1    0      0    1 1:1:1:0          yes 5756.4521 624.1940  624.1940
  2    0      0    2 2:2:2:0          yes 5756.4521 624.1940  624.1940
  3    0      0    3 3:3:3:0          yes 5756.4521 624.1940 5563.2231
  4    0      0    4 4:4:4:0          yes 5756.4521 624.1940  624.1940
  5    0      0    5 5:5:5:0          yes 5756.4521 624.1940  624.1940
  6    0      0    6 6:6:6:0          yes 5756.4521 624.1940  624.1940
  7    0      0    7 7:7:7:0          yes 5756.4521 624.1940 5549.5142
  8    0      0    8 8:8:8:1          yes 5756.4521 624.1940 5627.4341
  9    0      0    9 9:9:9:1          yes 5756.4521 624.1940 5699.6748
 10    0      0   10 10:10:10:1       yes 5756.4521 624.1940  624.1940
 11    0      0   11 11:11:11:1       yes 5756.4521 624.1940 5650.8652
 12    0      0   12 12:12:12:1       yes 5756.4521 624.1940 3666.3940
 13    0      0   13 13:13:13:1       yes 5756.4521 624.1940 5653.2822
 14    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5690.6699
 15    0      0   15 15:15:15:1       yes 5756.4521 624.1940 5618.3848
 16    0      0    0 0:0:0:0          yes 5756.4521 624.1940 5551.3442
 17    0      0    1 1:1:1:0          yes 5756.4521 624.1940 5549.9321
 18    0      0    2 2:2:2:0          yes 5756.4521 624.1940 5472.5908
 19    0      0    3 3:3:3:0          yes 5756.4521 624.1940 5541.9131
 20    0      0    4 4:4:4:0          yes 5756.4521 624.1940 5491.1079
 21    0      0    5 5:5:5:0          yes 5756.4521 624.1940 5561.8359
 22    0      0    6 6:6:6:0          yes 5756.4521 624.1940 5562.7788
 23    0      0    7 7:7:7:0          yes 5756.4521 624.1940  624.1940
 24    0      0    8 8:8:8:1          yes 5756.4521 624.1940  624.1940
 25    0      0    9 9:9:9:1          yes 5756.4521 624.1940 5682.5098
 26    0      0   10 10:10:10:1       yes 5756.4521 624.1940 5684.6621
 27    0      0   11 11:11:11:1       yes 5756.4521 624.1940  624.1940
 28    0      0   12 12:12:12:1       yes 5756.4521 624.1940 4742.8672
 29    0      0   13 13:13:13:1       yes 5756.4521 624.1940 5711.0669
 30    0      0   14 14:14:14:1       yes 5756.4521 624.1940  624.1940
 31    0      0   15 15:15:15:1       yes 5756.4521 624.1940  624.1940
