CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 5756.4521 624.1940 4429.3208
  1    0      0    1 1:1:1:0          yes 5756.4521 624.1940  624.1940
  2    0      0    2 2:2:2:0          yes 5756.4521 624.1940 5548.8032
  3    0      0    3 3:3:3:0          yes 5756.4521 624.1940  624.1940
  4    0      0    4 4:4:4:0          yes 5756.4521 624.1940 5565.5088
  5    0      0    5 5:5:5:0          yes 5756.4521 624.1940 5556.5552
  6    0      0    6 6:6:6:0          yes 5756.4521 624.1940  624.1940
  7    0      0    7 7:7:7:0          yes 5756.4521 624.1940  624.1940
  8    0      0    8 8:8:8:1          yes 5756.4521 624.1940 5666.6318
  9    0      0    9 9:9:9:1          yes 5756.4521 624.1940 5680.4600
 10    0      0   10 10:10:10:1       yes 5756.4521 624.1940 3432.0500
 11    0      0   11 11:11:11:1       yes 5756.4521 624.1940  624.1940
 12    0      0   12 12:12:12:1       yes 5756.4521 624.1940 3260.2070
 13    0      0   13 13:13:13:1       yes 5756.4521 624.1940 5684.1240
 14    0      0   14 14:14:14:1       yes 5756.4521 624.1940  624.1940
 15    0      0   15 15:15:15:1       yes 5756.4521 624.1940 5697.9141
 16    0      0    0 0:0:0:0          yes 5756.4521 624.1940  624.1940
 17    0      0    1 1:1:1:0          yes 5756.4521 624.1940  624.1940
 18    0      0    2 2:2:2:0          yes 5756.4521 624.1940  624.1940
 19    0      0    3 3:3:3:0          yes 5756.4521 624.1940  624.1940
 20    0      0    4 4:4:4:0          yes 5756.4521 624.1940  624.1940
 21    0      0    5 5:5:5:0          yes 5756.4521 624.1940  624.1940
 22    0      0    6 6:6:6:0          yes 5756.4521 624.1940 5596.4731
 23    0      0    7 7:7:7:0          yes 5756.4521 624.1940  624.1940
 24    0      0    8 8:8:8:1          yes 5756.4521 624.1940 5683.2979
 25    0      0    9 9:9:9:1          yes 5756.4521 624.1940  624.1940
 26    0      0   10 10:10:10:1       yes 5756.4521 624.1940  624.1940
 27    0      0   11 11:11:11:1       yes 5756.4521 624.1940  624.1940
 28    0      0   12 12:12:12:1       yes 5756.4521 624.1940  624.1940
 29    0      0   13 13:13:13:1       yes 5756.4521 624.1940  624.1940
 30    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5673.1509
 31    0      0   15 15:15:15:1       yes 5756.4521 624.1940 5699.9180
