run,scenario,input_mib,round,seconds,mib_per_s
1785535504,chunked1/source,1,0,0.00133862,747.149
1785535504,lexer_all/ascii,1,0,0.00130448,766.627
1785535504,chunked1/ascii,1,0,0.00126603,789.909
1785535504,chunked8/ascii,1,0,0.000249709,4004.87
1785535504,chunked8/source,1,0,0.000242969,4116.37
1785535504,chunked4/source,1,0,0.000382488,2614.86
1785535504,chunked2/source,1,0,0.000704616,1419.43
1785535504,chunked2/ascii,1,0,0.000681197,1468.08
1785535504,chunked4/ascii,1,0,0.000365058,2739.43
1785535504,lexer_all/source,1,0,0.00136651,731.9
1785535504,chunked2/source,1,1,0.000712806,1403.12
1785535504,chunked1/source,1,1,0.00134322,744.59
1785535504,chunked1/ascii,1,1,0.00127162,786.437
1785535504,lexer_all/source,1,1,0.00137603,726.836
1785535504,lexer_all/ascii,1,1,0.00131287,761.727
1785535504,chunked8/source,1,1,0.000243449,4108.26
1785535504,chunked2/ascii,1,1,0.000683966,1462.14
1785535504,chunked8/ascii,1,1,0.000238919,4185.73
1785535504,chunked4/source,1,1,0.000374408,2671.29
1785535504,chunked4/ascii,1,1,0.000442768,2258.64
1785535504,lexer_all/ascii,1,2,0.00130625,765.588
1785535504,lexer_all/source,1,2,0.00136213,734.253
1785535504,chunked1/ascii,1,2,0.00127131,786.628
1785535504,chunked4/ascii,1,2,0.000363248,2753.08
1785535504,chunked1/source,1,2,0.00134881,741.504
1785535504,chunked8/ascii,1,2,0.000237169,4216.62
1785535504,chunked4/source,1,2,0.000377628,2648.51
1785535504,chunked8/source,1,2,0.000247919,4034.18
1785535504,chunked2/ascii,1,2,0.000689227,1450.98
1785535504,chunked2/source,1,2,0.000709956,1408.75
1785535504,chunked4/ascii,1,3,0.000359448,2782.19
1785535504,lexer_all/ascii,1,3,0.00129993,769.309
1785535504,chunked4/source,1,3,0.000377688,2648.09
1785535504,chunked1/ascii,1,3,0.0012691,787.999
1785535504,lexer_all/source,1,3,0.0013805,724.483
1785535504,chunked8/source,1,3,0.000252369,3963.05
1785535504,chunked8/ascii,1,3,0.000239799,4170.37
1785535504,chunked2/source,1,3,0.000713976,1400.82
1785535504,chunked1/source,1,3,0.00134594,743.085
1785535504,chunked2/ascii,1,3,0.000689197,1451.04
1785535504,chunked4/ascii,1,4,0.000360888,2771.09
1785535504,chunked4/source,1,4,0.000380418,2629.08
1785535504,chunked1/source,1,4,0.00136379,733.359
1785535504,chunked2/ascii,1,4,0.000698626,1431.45
1785535504,chunked8/source,1,4,0.000251659,3974.23
1785535504,lexer_all/ascii,1,4,0.00131964,757.82
1785535504,chunked2/source,1,4,0.000724717,1380.06
1785535504,chunked8/ascii,1,4,0.000242028,4131.97
1785535504,chunked1/ascii,1,4,0.00128335,779.248
1785535504,lexer_all/source,1,4,0.00137619,726.752
1785535504,chunked4/ascii,1,5,0.000363648,2750.05
1785535504,chunked4/source,1,5,0.000383868,2605.45
1785535504,chunked2/source,1,5,0.000709197,1410.26
1785535504,lexer_all/source,1,5,0.00136012,735.338
1785535504,chunked2/ascii,1,5,0.000677816,1475.4
1785535504,chunked1/ascii,1,5,0.00127097,786.839
1785535504,lexer_all/ascii,1,5,0.00131804,758.74
1785535504,chunked8/source,1,5,0.000313929,3185.91
1785535504,chunked8/ascii,1,5,0.000235589,4244.9
1785535504,chunked1/source,1,5,0.00135122,740.182
1785535504,chunked8/ascii,1,6,0.000301758,3314.08
1785535504,lexer_all/ascii,1,6,0.00130669,765.33
1785535504,chunked2/source,1,6,0.000708406,1411.83
1785535504,chunked1/source,1,6,0.00134292,744.757
1785535504,chunked2/ascii,1,6,0.000687927,1453.72
1785535504,chunked4/source,1,6,0.000373288,2679.3
1785535504,chunked1/ascii,1,6,0.00127056,787.093
1785535504,lexer_all/source,1,6,0.00136345,733.542
1785535504,chunked8/source,1,6,0.000246309,4060.55
1785535504,chunked4/ascii,1,6,0.000381398,2622.07
1785535504,chunked1/source,1,7,0.00134364,744.357
1785535504,chunked8/source,1,7,0.000328258,3046.84
1785535504,lexer_all/source,1,7,0.00136605,732.146
1785535504,chunked4/source,1,7,0.000377438,2649.84
1785535504,chunked8/ascii,1,7,0.000286699,3488.16
1785535504,chunked2/source,1,7,0.000898375,1113.29
1785535504,chunked2/ascii,1,7,0.000681397,1467.65
1785535504,chunked4/ascii,1,7,0.000366028,2732.17
1785535504,chunked1/ascii,1,7,0.00126665,789.522
1785535504,lexer_all/ascii,1,7,0.00131086,762.896
1785535504,lexer_all/source,1,8,0.00137536,727.19
1785535504,chunked1/source,1,8,0.00135146,740.05
1785535504,chunked8/source,1,8,0.000240079,4165.92
1785535504,chunked4/source,1,8,0.000380718,2627.01
1785535504,chunked4/ascii,1,8,0.000369669,2705.26
1785535504,chunked8/ascii,1,8,0.000238028,4201.4
1785535504,chunked2/source,1,8,0.000709597,1409.46
1785535504,chunked2/ascii,1,8,0.000679166,1472.47
1785535504,lexer_all/ascii,1,8,0.00131023,763.262
1785535504,chunked1/ascii,1,8,0.00127543,784.088
1785535504,chunked8/ascii,1,9,0.000233339,4285.83
1785535504,chunked2/ascii,1,9,0.000678327,1474.29
1785535504,lexer_all/ascii,1,9,0.00131754,759.028
1785535504,chunked4/source,1,9,0.000382108,2617.46
1785535504,chunked1/source,1,9,0.00135279,739.323
1785535504,chunked4/ascii,1,9,0.000366708,2727.11
1785535504,chunked2/source,1,9,0.000715347,1398.13
1785535504,lexer_all/source,1,9,0.00135957,735.636
1785535504,chunked1/ascii,1,9,0.00126559,790.184
1785535504,chunked8/source,1,9,0.000246219,4062.04
1785535504,chunked4/ascii,1,10,0.000358388,2790.42
1785535504,lexer_all/source,1,10,0.00136538,732.506
1785535504,chunked4/source,1,10,0.000387628,2580.18
1785535504,chunked1/ascii,1,10,0.00126743,789.036
1785535504,lexer_all/ascii,1,10,0.00132174,756.616
1785535504,chunked8/ascii,1,10,0.000239189,4181.01
1785535504,chunked2/ascii,1,10,0.000673136,1485.66
1785535504,chunked2/source,1,10,0.000709067,1410.52
1785535504,chunked1/source,1,10,0.00134758,742.181
1785535504,chunked8/source,1,10,0.000236949,4220.95
1785535504,chunked1/source,1,11,0.00133946,746.68
1785535504,chunked4/ascii,1,11,0.000361008,2770.16
1785535504,chunked4/source,1,11,0.000399598,2502.89
1785535504,lexer_all/source,1,11,0.0013563,737.409
1785535504,chunked1/ascii,1,11,0.00126561,790.171
1785535504,chunked8/ascii,1,11,0.000231319,4323.26
1785535504,lexer_all/ascii,1,11,0.00131224,762.093
1785535504,chunked2/ascii,1,11,0.000678137,1474.7
1785535504,chunked2/source,1,11,0.000703106,1422.47
1785535504,chunked8/source,1,11,0.000241659,4138.69
1785535504,chunked2/ascii,1,12,0.000695927,1437.01
1785535504,chunked1/ascii,1,12,0.00126877,788.204
1785535504,chunked8/ascii,1,12,0.000235609,4244.54
1785535504,chunked4/ascii,1,12,0.000360748,2772.16
1785535504,chunked4/source,1,12,0.000381458,2621.92
1785535504,lexer_all/source,1,12,0.00137567,727.026
1785535504,chunked1/source,1,12,0.00134407,744.119
1785535504,chunked2/source,1,12,0.000714166,1400.45
1785535504,lexer_all/ascii,1,12,0.0013049,766.379
1785535504,chunked8/source,1,12,0.000236518,4228.65
1785535504,chunked1/source,1,13,0.00134449,743.886
1785535504,chunked2/ascii,1,13,0.000679636,1471.45
1785535504,chunked4/source,1,13,0.000374178,2672.93
1785535504,lexer_all/source,1,13,0.00137991,724.793
1785535504,chunked8/ascii,1,13,0.000233689,4279.41
1785535504,chunked4/ascii,1,13,0.000366318,2730.01
1785535504,lexer_all/ascii,1,13,0.00130622,765.605
1785535504,chunked2/source,1,13,0.000705356,1417.94
1785535504,chunked1/ascii,1,13,0.00127153,786.492
1785535504,chunked8/source,1,13,0.000243109,4114
1785535504,chunked2/ascii,1,14,0.000702496,1423.57
1785535504,chunked1/ascii,1,14,0.00127572,783.909
1785535504,chunked4/source,1,14,0.000375868,2660.91
1785535504,lexer_all/ascii,1,14,0.00131333,761.461
1785535504,chunked8/source,1,14,0.000240509,4158.48
1785535504,chunked4/ascii,1,14,0.000364428,2744.17
1785535504,lexer_all/source,1,14,0.00136195,734.35
1785535504,chunked1/source,1,14,0.00134525,743.467
1785535504,chunked8/ascii,1,14,0.000305919,3269.01
1785535504,chunked2/source,1,14,0.000720356,1388.41
1785535504,chunked1/source,16,0,0.0214671,745.328
1785535504,lexer_all/ascii,16,0,0.0209818,762.568
1785535504,chunked1/ascii,16,0,0.0207083,772.64
1785535504,chunked8/ascii,16,0,0.00311478,5136.8
1785535504,chunked8/source,16,0,0.00308325,5189.35
