run,commit,dirty,scenario,input_mib,round,seconds,mib_per_s
1786139831,40450d2,no,no-actions-declared,1,0,0.00099719499999999998,1002.8148028706851
1786139831,40450d2,no,depth-16,1,0,0.001611482,620.56396320602755
1786139831,40450d2,no,depth-4,1,0,0.0012895140000000001,775.49631213032944
1786139831,40450d2,no,actions-90pc,1,0,0.0012814930000000001,780.34501610247946
1786139831,40450d2,no,body-8,1,0,0.0013615529999999999,734.45893650234848
1786139831,40450d2,no,actions-40pc,1,0,0.0013112429999999999,762.63660309235809
1786139831,40450d2,no,actions-1pc,1,0,0.0010630450000000001,940.69574415818022
1786139831,40450d2,no,one-action-never-fires,1,0,0.0010595540000000001,943.79513205427259
1786139831,40450d2,no,body-512,1,0,0.001196814,835.82663441366844
1786139831,40450d2,no,per-token,1,0,0.0022199089999999999,450.47106362088812
1786139831,40450d2,no,go-to,1,0,0.001247983,801.29678719308038
1786139831,40450d2,no,batched,1,0,0.0012726739999999999,785.75092158053212
1786139831,40450d2,no,depth-1,1,0,0.001219503,820.00852890312626
1786139831,40450d2,no,push-pop,1,0,0.001272004,786.16479851602833
1786139831,40450d2,no,action-never-fires,1,0,0.0010573550000000001,945.75795957708885
1786139831,40450d2,no,actions-10pc,1,0,0.001137494,879.130546663014
1786139831,40450d2,no,body-128,1,0,0.001210703,826.00893729765755
1786139831,40450d2,no,body-32,1,0,0.001273644,785.1524981639941
1786139831,40450d2,no,action-never-fires,1,1,0.0010528740000000001,949.7830769385821
1786139831,40450d2,no,body-32,1,1,0.0012738739999999999,785.01073761736416
1786139831,40450d2,no,no-actions-declared,1,1,0.00099006500000000004,1010.0366211800566
1786139831,40450d2,no,push-pop,1,1,0.001308233,764.39347453517996
1786139831,40450d2,no,depth-4,1,1,0.0012934229999999999,773.15259697750059
1786139831,40450d2,no,per-token,1,1,0.0022373089999999998,446.96765997525694
1786139831,40450d2,no,actions-90pc,1,1,0.0012652830000000001,790.34229948573943
1786139831,40450d2,no,go-to,1,1,0.0012478439999999999,801.38604534828244
1786139831,40450d2,no,body-128,1,1,0.0011999140000000001,833.4359782560133
1786139831,40450d2,no,actions-40pc,1,1,0.001310063,763.32352516530341
1786139831,40450d2,no,actions-1pc,1,1,0.001060645,942.8243260927386
1786139831,40450d2,no,body-512,1,1,0.0011998130000000001,833.73743878351047
1786139831,40450d2,no,body-8,1,1,0.001355303,737.84590484311036
1786139831,40450d2,no,depth-1,1,1,0.0012167040000000001,821.89493995495138
1786139831,40450d2,no,depth-16,1,1,0.0016175320000000001,618.24288889195122
1786139831,40450d2,no,actions-10pc,1,1,0.001142814,875.03803947615131
1786139831,40450d2,no,batched,1,1,0.0012812730000000001,780.47751601070343
1786139831,40450d2,no,one-action-never-fires,1,1,0.001058535,944.70367758140526
1786139831,40450d2,no,body-32,1,2,0.0012683130000000001,788.45266773389687
1786139831,40450d2,no,action-never-fires,1,2,0.001056665,946.37553751532676
1786139831,40450d2,no,push-pop,1,2,0.0012699429999999999,787.44067125184517
1786139831,40450d2,no,body-8,1,2,0.001359243,735.70713137502423
1786139831,40450d2,no,depth-1,1,2,0.001225454,816.02643675156253
1786139831,40450d2,no,depth-4,1,2,0.001295243,772.06620799373536
1786139831,40450d2,no,body-128,1,2,0.0012019140000000001,832.0491303147196
1786139831,40450d2,no,actions-40pc,1,2,0.001307033,765.09308284384008
1786139831,40450d2,no,body-512,1,2,0.0011924839999999999,838.86158442306998
1786139831,40450d2,no,one-action-never-fires,1,2,0.001050535,951.89775433339469
1786139831,40450d2,no,actions-1pc,1,2,0.001056504,946.5197551061168
1786139831,40450d2,no,per-token,1,2,0.0022285790000000001,448.71856387930694
1786139831,40450d2,no,actions-90pc,1,2,0.0012723529999999999,785.95065655538588
1786139831,40450d2,no,actions-10pc,1,2,0.0011331150000000001,882.52800646527351
1786139831,40450d2,no,batched,1,2,0.001273433,785.28259309408656
1786139831,40450d2,no,depth-16,1,2,0.001609332,621.39301061258698
1786139831,40450d2,no,go-to,1,2,0.0012507130000000001,799.54775265914884
1786139831,40450d2,no,no-actions-declared,1,2,0.0009852350000000001,1014.9882082433458
1786139831,40450d2,no,no-actions-declared,1,3,0.00098550500000000002,1014.7101306930282
1786139831,40450d2,no,push-pop,1,3,0.001268344,788.43339691091853
1786139831,40450d2,no,actions-90pc,1,3,0.0012760829999999999,783.65331700227568
1786139831,40450d2,no,action-never-fires,1,3,0.0010526050000000001,950.02580013265447
1786139831,40450d2,no,body-32,1,3,0.0012733829999999999,785.31342759529707
