run,scenario,input_mib,round,seconds,mib_per_s
1785540000,chunked1/source,1,0,0.001369503,730.30192744520616
1785540000,lexer_all/ascii,1,0,0.0012575830000000001,795.21709375292596
1785540000,chunked1/ascii,1,0,0.0013154530000000001,760.23354571625589
1785540000,chunked8/ascii,1,0,0.000244009,4098.4205435581716
1785540000,chunked8/source,1,0,0.000243959,4099.6670774269123
1785540000,chunked4/source,1,0,0.000372868,2682.3183554018906
1785540000,chunked2/source,1,0,0.00070452600000000002,1419.607907361818
1785540000,chunked2/ascii,1,0,0.00068061700000000001,1469.3307666618464
1785540000,chunked4/ascii,1,0,0.00036230799999999999,2760.224721543786
1785540000,lexer_all/source,1,0,0.0013533219999999999,739.03378541248298
1785540000,chunked2/source,1,1,0.00070888699999999995,1410.8746253521256
1785540000,chunked1/source,1,1,0.001371092,729.45555844683815
1785540000,chunked1/ascii,1,1,0.0013157329999999999,760.0717610739307
1785540000,lexer_all/source,1,1,0.001344643,743.80387994582372
1785540000,lexer_all/ascii,1,1,0.0012608540000000001,793.15408319526762
1785540000,chunked8/source,1,1,0.00029348800000000001,3407.8077486711286
1785540000,chunked2/ascii,1,1,0.00087917500000000005,1137.488552805853
1785540000,chunked8/ascii,1,1,0.000240449,4159.1002599848034
1785540000,chunked4/source,1,1,0.00038264800000000003,2613.7616831709356
1785540000,chunked4/ascii,1,1,0.00055076699999999997,1815.7433150734994
1785540000,lexer_all/ascii,1,2,0.0012567539999999999,795.74164746090798
1785540000,lexer_all/source,1,2,0.001346072,743.01425224058755
1785540000,chunked1/ascii,1,2,0.0013100340000000001,763.37827752034366
1785540000,chunked4/ascii,1,2,0.00035975800000000001,2779.7894651768297
1785540000,chunked1/source,1,2,0.001399352,714.72415842618022
1785540000,chunked8/ascii,1,2,0.00024373900000000001,4102.9605373497307
1785540000,chunked4/source,1,2,0.00037497799999999999,2667.2249586428861
1785540000,chunked8/source,1,2,0.00024328899999999999,4110.9572588238361
1785540000,chunked2/ascii,1,2,0.00067790600000000004,1475.2067372365577
1785540000,chunked2/source,1,2,0.00070789599999999996,1412.8497414055062
1785540000,chunked4/ascii,1,3,0.00037451800000000001,2670.2361392859248
1785540000,lexer_all/ascii,1,3,0.001168344,855.9563779272936
1785540000,chunked4/source,1,3,0.00038670799999999998,2586.3201189062347
1785540000,chunked1/ascii,1,3,0.0012946730000000001,772.43558675672227
1785540000,lexer_all/source,1,3,0.0013218329999999999,756.63921277649467
1785540000,chunked8/source,1,3,0.00032052799999999999,3120.322344824765
1785540000,chunked8/ascii,1,3,0.000233759,4278.1304609152412
1785540000,chunked2/source,1,3,0.00070645599999999995,1415.7296145011044
1785540000,chunked1/source,1,3,0.001348513,741.66929094639227
1785540000,chunked2/ascii,1,3,0.00068544700000000005,1458.9771323137834
1785540000,chunked4/ascii,1,4,0.00047834700000000001,2090.6402641034351
1785540000,chunked4/source,1,4,0.00047979799999999998,2084.5244885180687
1785540000,chunked1/source,1,4,0.001347282,742.34694781195935
1785540000,chunked2/ascii,1,4,0.00068633699999999997,1457.0852196706369
1785540000,chunked8/source,1,4,0.000242718,4120.6283857892377
1785540000,lexer_all/ascii,1,4,0.0012394439999999999,806.85492721985509
1785540000,chunked2/source,1,4,0.00072531600000000005,1378.9171623705972
1785540000,chunked8/ascii,1,4,0.000237839,4204.7414360684579
1785540000,chunked1/ascii,1,4,0.0012976730000000001,770.64984662013148
1785540000,lexer_all/source,1,4,0.0013343129999999999,749.56226952895781
1785540000,chunked4/ascii,1,5,0.00036282799999999999,2756.2688061921517
1785540000,chunked4/source,1,5,0.00038924800000000002,2569.4433382881662
1785540000,chunked2/source,1,5,0.00071449600000000001,1399.7988519767671
1785540000,lexer_all/source,1,5,0.001324593,755.06263474289244
1785540000,chunked2/ascii,1,5,0.00068042700000000005,1469.7410573258937
1785540000,chunked1/ascii,1,5,0.0012904629999999999,774.95557672950406
1785540000,lexer_all/ascii,1,5,0.001241093,805.78288525766072
1785540000,chunked8/source,1,5,0.000242969,4116.3715558033828
1785540000,chunked8/ascii,1,5,0.00024818799999999999,4029.4111657819312
1785540000,chunked1/source,1,5,0.001376373,726.65671336330502
1785540000,chunked8/ascii,1,6,0.000236789,4223.3866371034383
1785540000,lexer_all/ascii,1,6,0.001238023,807.78103348086904
1785540000,chunked2/source,1,6,0.00072380600000000002,1381.7938515872929
1785540000,chunked1/source,1,6,0.001360923,734.90614865204884
1785540000,chunked2/ascii,1,6,0.00068544700000000005,1458.9771323137834
1785540000,chunked4/source,1,6,0.00037618800000000001,2658.645891261795
1785540000,chunked1/ascii,1,6,0.0013003929999999999,769.03789732264477
1785540000,lexer_all/source,1,6,0.0013294030000000001,752.33069320739617
1785540000,chunked8/source,1,6,0.00024281800000000001,4118.9313829369821
1785540000,chunked4/ascii,1,6,0.00036508800000000001,2739.2067074598067
1785540000,chunked1/source,1,7,0.0013636430000000001,733.44026298818096
1785540000,chunked8/source,1,7,0.00024911900000000001,4014.7507036476227
1785540000,lexer_all/source,1,7,0.0013204930000000001,757.40702945187297
1785540000,chunked4/source,1,7,0.00038055800000000002,2628.1162938159023
1785540000,chunked8/ascii,1,7,0.000233429,4284.1784800221303
1785540000,chunked2/source,1,7,0.00072899599999999998,1371.9563352089617
1785540000,chunked2/ascii,1,7,0.00071556600000000005,1397.5670985109491
1785540000,chunked4/ascii,1,7,0.000363758,2749.2220058750213
1785540000,chunked1/ascii,1,7,0.0012977030000000001,770.63203091391938
1785540000,lexer_all/ascii,1,7,0.001242674,804.75772279220928
1785540000,lexer_all/source,1,8,0.0013415129999999999,745.53931310542066
1785540000,chunked1/source,1,8,0.0013710420000000001,729.48216067924409
1785540000,chunked8/source,1,8,0.00024137900000000001,4143.4867181568907
1785540000,chunked4/source,1,8,0.00037645799999999998,2656.7390799026512
1785540000,chunked4/ascii,1,8,0.00036057800000000002,2773.4678721749133
1785540000,chunked8/ascii,1,8,0.00023318899999999999,4288.5877910754198
1785540000,chunked2/source,1,8,0.00071243599999999999,1403.8463532752305
1785540000,chunked2/ascii,1,8,0.00068360600000000001,1462.9062623983493
1785540000,lexer_all/ascii,1,8,0.001239254,806.97863263954446
