CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 5756.4521 624.1940 4354.5449
  1    0      0    1 1:1:1:0          yes 5756.4521 624.1940 5548.6719
  2    0      0    2 2:2:2:0          yes 5756.4521 624.1940 5572.3911
  3    0      0    3 3:3:3:0          yes 5756.4521 624.1940  624.1940
  4    0      0    4 4:4:4:0          yes 5756.4521 624.1940  624.1940
  5    0      0    5 5:5:5:0          yes 5756.4521 624.1940 3444.7290
  6    0      0    6 6:6:6:0          yes 5756.4521 624.1940  624.1940
  7    0      0    7 7:7:7:0          yes 5756.4521 624.1940 4356.1108
  8    0      0    8 8:8:8:1          yes 5756.4521 624.1940  624.1940
  9    0      0    9 9:9:9:1          yes 5756.4521 624.1940 5703.3579
 10    0      0   10 10:10:10:1       yes 5756.4521 624.1940  624.1940
 11    0      0   11 11:11:11:1       yes 5756.4521 624.1940 4326.9658
 12    0      0   12 12:12:12:1       yes 5756.4521 624.1940 4332.2339
 13    0      0   13 13:13:13:1       yes 5756.4521 624.1940 5619.0122
 14    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5714.4028
 15    0      0   15 15:15:15:1       yes 5756.4521 624.1940 5740.2080
 16    0      0    0 0:0:0:0          yes 5756.4521 624.1940 4307.4019
 17    0      0    1 1:1:1:0          yes 5756.4521 624.1940 5558.6030
 18    0      0    2 2:2:2:0          yes 5756.4521 624.1940  624.1940
 19    0      0    3 3:3:3:0          yes 5756.4521 624.1940  624.1940
 20    0      0    4 4:4:4:0          yes 5756.4521 624.1940 4260.5488
 21    0      0    5 5:5:5:0          yes 5756.4521 624.1940  624.1940
 22    0      0    6 6:6:6:0          yes 5756.4521 624.1940 3380.7600
 23    0      0    7 7:7:7:0          yes 5756.4521 624.1940  624.1940
 24    0      0    8 8:8:8:1          yes 5756.4521 624.1940 5737.1260
 25    0      0    9 9:9:9:1          yes 5756.4521 624.1940  624.1940
 26    0      0   10 10:10:10:1       yes 5756.4521 624.1940 5682.6030
 27    0      0   11 11:11:11:1       yes 5756.4521 624.1940 4652.2051
 28    0      0   12 12:12:12:1       yes 5756.4521 624.1940 5703.0981
 29    0      0   13 13:13:13:1       yes 5756.4521 624.1940 5716.1211
 30    0      0   14 14:14:14:1       yes 5756.4521 624.1940 5707.9312
 31    0      0   15 15:15:15:1       yes 5756.4521 624.1940  624.1940
