run,scenario,input_mib,round,seconds,mib_per_s
1785536021,chunked8/source,1,9,0.000217508,4598.22
1785536021,chunked4/ascii,1,10,0.000351269,2846.97
1785536021,lexer_all/source,1,10,0.00143063,699.097
1785536021,chunked4/source,1,10,0.000363109,2754.41
1785536021,chunked1/ascii,1,10,0.0013088,764.096
1785536021,lexer_all/ascii,1,10,0.00139229,718.277
1785536021,chunked8/ascii,1,10,0.000213869,4676
1785536021,chunked2/ascii,1,10,0.000683077,1464.04
1785536021,chunked2/source,1,10,0.000709486,1409.68
1785536021,chunked1/source,1,10,0.00138811,720.511
1785536021,chunked8/source,1,10,0.000211159,4736.48
1785536021,chunked1/source,1,11,0.00138584,721.691
1785536021,chunked4/ascii,1,11,0.000365558,2735.68
1785536021,chunked4/source,1,11,0.000363169,2753.95
1785536021,lexer_all/source,1,11,0.00142369,702.505
1785536021,chunked1/ascii,1,11,0.0013029,767.556
1785536021,chunked8/ascii,1,11,0.000213049,4694
1785536021,lexer_all/ascii,1,11,0.0014093,709.607
1785536021,chunked2/ascii,1,11,0.000677706,1475.64
1785536021,chunked2/source,1,11,0.000710427,1407.82
1785536021,chunked8/source,1,11,0.000217019,4608.59
1785536021,chunked2/ascii,1,12,0.000680066,1470.52
1785536021,chunked1/ascii,1,12,0.00131256,761.907
1785536021,chunked8/ascii,1,12,0.000208739,4790.92
1785536021,chunked4/ascii,1,12,0.000351968,2841.31
1785536021,chunked4/source,1,12,0.000363968,2747.91
1785536021,lexer_all/source,1,12,0.00143027,699.273
1785536021,chunked1/source,1,12,0.00138644,721.379
1785536021,chunked2/source,1,12,0.000703626,1421.42
1785536021,lexer_all/ascii,1,12,0.00138738,720.818
1785536021,chunked8/source,1,12,0.000216889,4611.35
1785536021,chunked1/source,1,13,0.00138691,721.134
1785536021,chunked2/ascii,1,13,0.000671856,1488.49
1785536021,chunked4/source,1,13,0.000373498,2677.79
1785536021,lexer_all/source,1,13,0.00142318,702.756
1785536021,chunked8/ascii,1,13,0.000208999,4784.96
1785536021,chunked4/ascii,1,13,0.000350708,2851.52
1785536021,lexer_all/ascii,1,13,0.00139268,718.075
1785536021,chunked2/source,1,13,0.000705147,1418.36
1785536021,chunked1/ascii,1,13,0.00130893,764.02
1785536021,chunked8/source,1,13,0.000218139,4584.92
1785536021,chunked2/ascii,1,14,0.000679127,1472.55
1785536021,chunked1/ascii,1,14,0.00131321,761.53
1785536021,chunked4/source,1,14,0.000369129,2709.49
1785536021,lexer_all/ascii,1,14,0.00140752,710.505
1785536021,chunked8/source,1,14,0.000215749,4635.71
1785536021,chunked4/ascii,1,14,0.000352489,2837.11
1785536021,lexer_all/source,1,14,0.00143203,698.414
1785536021,chunked1/source,1,14,0.00138244,723.466
1785536021,chunked8/ascii,1,14,0.000209819,4766.26
1785536021,chunked2/source,1,14,0.000704386,1419.89
1785536021,chunked1/source,16,0,0.0221137,723.534
1785536021,lexer_all/ascii,16,0,0.023631,677.08
1785536021,chunked1/ascii,16,0,0.0208986,765.605
1785536021,chunked8/ascii,16,0,0.00553239,2892.06
1785536021,chunked8/source,16,0,0.00316746,5051.37
1785536021,chunked4/source,16,0,0.0057301,2792.28
1785536021,chunked2/source,16,0,0.0111963,1429.05
1785536021,chunked2/ascii,16,0,0.0110912,1442.59
1785536021,chunked4/ascii,16,0,0.00560827,2852.94
1785536021,lexer_all/source,16,0,0.0227232,704.129
1785536021,chunked2/source,16,1,0.0112238,1425.54
1785536021,chunked1/source,16,1,0.0221145,723.508
1785536021,chunked1/ascii,16,1,0.0213641,748.923
1785536021,lexer_all/source,16,1,0.0229257,697.909
1785536021,lexer_all/ascii,16,1,0.0237205,674.524
1785536021,chunked8/source,16,1,0.00321909,4970.36
1785536021,chunked2/ascii,16,1,0.0109878,1456.17
1785536021,chunked8/ascii,16,1,0.00286588,5582.95
1785536021,chunked4/source,16,1,0.00563451,2839.65
1785536021,chunked4/ascii,16,1,0.00542058,2951.72
1785536021,lexer_all/ascii,16,2,0.0238704,670.287
1785536021,lexer_all/source,16,2,0.0232958,686.822
1785536021,chunked1/ascii,16,2,0.0214064,747.443
1785536021,chunked4/ascii,16,2,0.00571588,2799.22
1785536021,chunked1/source,16,2,0.0222027,720.635
1785536021,chunked8/ascii,16,2,0.00297994,5369.26
1785536021,chunked4/source,16,2,0.00571385,2800.22
1785536021,chunked8/source,16,2,0.0030697,5212.24
1785536021,chunked2/ascii,16,2,0.0109496,1461.25
1785536021,chunked2/source,16,2,0.0111719,1432.17
1785536021,chunked4/ascii,16,3,0.00573239,2791.16
1785536021,lexer_all/ascii,16,3,0.0237567,673.495
1785536021,chunked4/source,16,3,0.00592336,2701.18
1785536021,chunked1/ascii,16,3,0.0213522,749.339
1785536021,lexer_all/source,16,3,0.0233727,684.561
1785536021,chunked8/source,16,3,0.00360865,4433.8
1785536021,chunked8/ascii,16,3,0.00374534,4271.98
1785536021,chunked2/source,16,3,0.0113095,1414.75
1785536021,chunked1/source,16,3,0.0221819,721.311
1785536021,chunked2/ascii,16,3,0.0111791,1431.24
1785536021,chunked4/ascii,16,4,0.00592406,2700.86
1785536021,chunked4/source,16,4,0.00570067,2806.69
1785536021,chunked1/source,16,4,0.0223429,716.112
1785536021,chunked2/ascii,16,4,0.011155,1434.33
1785536021,chunked8/source,16,4,0.0031064,5150.68
1785536021,lexer_all/ascii,16,4,0.021838,732.67
1785536021,chunked2/source,16,4,0.0113337,1411.73
1785536021,chunked8/ascii,16,4,0.00306048,5227.94
1785536021,chunked1/ascii,16,4,0.0211978,754.796
1785536021,lexer_all/source,16,4,0.0221402,722.668
1785536021,chunked4/ascii,16,5,0.00559439,2860.01
1785536021,chunked4/source,16,5,0.00602395,2656.07
1785536021,chunked2/source,16,5,0.0112143,1426.76
1785536021,lexer_all/source,16,5,0.0232733,687.484
1785536021,chunked2/ascii,16,5,0.0108733,1471.49
1785536021,chunked1/ascii,16,5,0.0208912,765.876
1785536021,lexer_all/ascii,16,5,0.0236962,675.215
1785536021,chunked8/source,16,5,0.0031917,5013.01
1785536021,chunked8/ascii,16,5,0.00284945,5615.12
1785536021,chunked1/source,16,5,0.0221076,723.734
1785536021,chunked8/ascii,16,6,0.00281976,5674.26
1785536021,lexer_all/ascii,16,6,0.0235837,678.435
1785536021,chunked2/source,16,6,0.011377,1406.35
1785536021,chunked1/source,16,6,0.0221815,721.324
1785536021,chunked2/ascii,16,6,0.0112788,1418.6
1785536021,chunked4/source,16,6,0.00591993,2702.74
1785536021,chunked1/ascii,16,6,0.0213843,748.215
1785536021,lexer_all/source,16,6,0.0227344,703.78
1785536021,chunked8/source,16,6,0.00568288,2815.48
1785536021,chunked4/ascii,16,6,0.0059791,2675.99
1785536021,chunked1/source,16,7,0.0221599,722.027
1785536021,chunked8/source,16,7,0.0056458,2833.97
1785536021,lexer_all/source,16,7,0.0225756,708.731
1785536021,chunked4/source,16,7,0.00558081,2866.97
1785536021,chunked8/ascii,16,7,0.0050405,3174.29
1785536021,chunked2/source,16,7,0.0112578,1421.24
1785536021,chunked2/ascii,16,7,0.0108624,1472.97
1785536021,chunked4/ascii,16,7,0.00571394,2800.18
1785536021,chunked1/ascii,16,7,0.0210035,761.779
1785536021,lexer_all/ascii,16,7,0.0241198,663.356
1785536021,lexer_all/source,16,8,0.0233469,685.316
1785536021,chunked1/source,16,8,0.0221152,723.487
1785536021,chunked8/source,16,8,0.00309298,5173.01
1785536021,chunked4/source,16,8,0.00565719,2828.27
1785536021,chunked4/ascii,16,8,0.00592861,2698.78
1785536021,chunked8/ascii,16,8,0.0029115,5495.45
1785536021,chunked2/source,16,8,0.0113728,1406.87
1785536021,chunked2/ascii,16,8,0.0110002,1454.52
1785536021,lexer_all/ascii,16,8,0.021973,728.169
1785536021,chunked1/ascii,16,8,0.0213857,748.167
1785536021,chunked8/ascii,16,9,0.00297701,5374.54
1785536021,chunked2/ascii,16,9,0.0115464,1385.72
1785536021,lexer_all/ascii,16,9,0.0221648,721.866
1785536021,chunked4/source,16,9,0.00569156,2811.19
1785536021,chunked1/source,16,9,0.0220564,725.414
1785536021,chunked4/ascii,16,9,0.00554302,2886.52
1785536021,chunked2/source,16,9,0.0112,1428.58
1785536021,lexer_all/source,16,9,0.0226244,707.204
1785536021,chunked1/ascii,16,9,0.0214179,747.04
1785536021,chunked8/source,16,9,0.00318869,5017.74
1785536021,chunked4/ascii,16,10,0.00550045,2908.86
1785536021,lexer_all/source,16,10,0.0227105,704.52
1785536021,chunked4/source,16,10,0.00559601,2859.19
1785536021,chunked1/ascii,16,10,0.0214247,746.804
1785536021,lexer_all/ascii,16,10,0.0221984,720.774
1785536021,chunked8/ascii,16,10,0.00300602,5322.66
1785536021,chunked2/ascii,16,10,0.0112645,1420.39
1785536021,chunked2/source,16,10,0.0112084,1427.5
1785536021,chunked1/source,16,10,0.0219287,729.638
1785536021,chunked8/source,16,10,0.00319064,5014.67
1785536021,chunked1/source,16,11,0.0221292,723.029
1785536021,chunked4/ascii,16,11,0.00545858,2931.17
1785536021,chunked4/source,16,11,0.00569548,2809.25
1785536021,lexer_all/source,16,11,0.0221119,723.594
1785536021,chunked1/ascii,16,11,0.0213743,748.564
1785536021,chunked8/ascii,16,11,0.00304721,5250.71
1785536021,lexer_all/ascii,16,11,0.0221722,721.626
1785536021,chunked2/ascii,16,11,0.0110861,1443.25
1785536021,chunked2/source,16,11,0.011194,1429.34
1785536021,chunked8/source,16,11,0.00306303,5223.61
1785536021,chunked2/ascii,16,12,0.0109788,1457.35
1785536021,chunked1/ascii,16,12,0.0214074,747.408
1785536021,chunked8/ascii,16,12,0.00327403,4886.95
1785536021,chunked4/ascii,16,12,0.00573809,2788.39
1785536021,chunked4/source,16,12,0.00572674,2793.92
1785536021,lexer_all/source,16,12,0.0226875,705.235
1785536021,chunked1/source,16,12,0.0219972,727.367
1785536021,chunked2/source,16,12,0.0112369,1423.88
1785536021,lexer_all/ascii,16,12,0.023332,685.754
1785536021,chunked8/source,16,12,0.00564817,2832.78
1785536021,chunked1/source,16,13,0.0220781,724.702
1785536021,chunked2/ascii,16,13,0.0110757,1444.61
1785536021,chunked4/source,16,13,0.00622307,2571.09
1785536021,lexer_all/source,16,13,0.023424,683.061
1785536021,chunked8/ascii,16,13,0.00307155,5209.12
1785536021,chunked4/ascii,16,13,0.00554594,2885
1785536021,lexer_all/ascii,16,13,0.0228791,699.331
1785536021,chunked2/source,16,13,0.0111879,1430.12
1785536021,chunked1/ascii,16,13,0.021307,750.929
1785536021,chunked8/source,16,13,0.00311568,5135.32
1785536021,chunked2/ascii,16,14,0.0113392,1411.04
1785536021,chunked1/ascii,16,14,0.0213607,749.041
1785536021,chunked4/source,16,14,0.00585729,2731.65
1785536021,lexer_all/ascii,16,14,0.023661,676.219
1785536021,chunked8/source,16,14,0.00301354,5309.38
1785536021,chunked4/ascii,16,14,0.00562162,2846.16
1785536021,lexer_all/source,16,14,0.0233315,685.77
1785536021,chunked1/source,16,14,0.0220873,724.398
1785536021,chunked8/ascii,16,14,0.0029497,5424.3
1785536021,chunked2/source,16,14,0.0113001,1415.92
1785536021,chunked1/source,128,0,0.177387,721.588
1785536021,lexer_all/ascii,128,0,0.178305,717.871
1785536021,chunked1/ascii,128,0,0.168615,759.125
1785536021,chunked8/ascii,128,0,0.0228188,5609.41
1785536021,chunked8/source,128,0,0.0231527,5528.52
1785536021,chunked4/source,128,0,0.0453675,2821.41
1785536021,chunked2/source,128,0,0.0904501,1415.15
1785536021,chunked2/ascii,128,0,0.0887586,1442.11
1785536021,chunked4/ascii,128,0,0.0448105,2856.47
